Ticker,Active,StartDate,EndDate,Notes
ADM,Y,2024-12-31,,
AEP,Y,2024-12-31,,
ALL,Y,2024-12-31,,
ALLY,Y,2024-12-31,,
ANF,Y,2024-12-31,,
ANGI,Y,2024-12-31,,
AOS,Y,2024-12-31,,
BA,Y,2024-12-31,,
BAX,Y,2024-12-31,,
BBWI,Y,2026-04-01,,Added replacing GLDD effective 2026-04-01
BMI,Y,2024-12-31,,
CARS,Y,2024-12-31,,
CAT,Y,2024-12-31,,
CF,Y,2024-12-31,,
CME,Y,2024-12-31,,
CMI,Y,2024-12-31,,
CTS,Y,2024-12-31,,
DE,Y,2024-12-31,,
DOW,Y,2024-12-31,,
DPZ,Y,2024-12-31,,
EXC,Y,2024-12-31,,
F,Y,2024-12-31,,
FISV,Y,2024-12-31,,
FITB,Y,2024-12-31,,
FSS,Y,2024-12-31,,
FUN,Y,2024-12-31,,
GLDD,N,2024-12-31,2026-03-31,Removed; replaced by BBWI effective 2026-04-01
GM,Y,2024-12-31,,
GNRC,Y,2026-02-13,,Added replacing ZEUS effective 2026-02-13
GT,Y,2024-12-31,,
H,Y,2024-12-31,,
HOG,Y,2024-12-31,,
HURC,Y,2024-12-31,,
INGR,Y,2024-12-31,,
ITW,Y,2024-12-31,,
JLL,Y,2024-12-31,,
K,N,2024-12-31,2025-12-10,Removed; replaced by RKT effective 2025-12-11
KELYA,Y,2024-12-31,,
KR,Y,2024-12-31,,
KSS,Y,2024-12-31,,
LKFN,Y,2024-12-31,,
LLY,Y,2024-12-31,,
LZB,Y,2024-12-31,,
M,Y,2024-12-31,,
MAS,Y,2024-12-31,,
MCD,Y,2024-12-31,,
MOD,Y,2024-12-31,,
MPC,Y,2024-12-31,,
MRTN,Y,2024-12-31,,
MSI,Y,2024-12-31,,
NI,Y,2024-12-31,,
NPK,Y,2024-12-31,,
NTRS,Y,2024-12-31,,
OI,Y,2024-12-31,,
OSK,Y,2024-12-31,,
PAG,Y,2024-12-31,,
PATK,Y,2024-12-31,,
PG,Y,2024-12-31,,
PH,Y,2024-12-31,,
PHM,Y,2024-12-31,,
PKG,Y,2024-12-31,,
RAIL,Y,2024-12-31,,
REX,Y,2024-12-31,,
RKT,Y,2025-12-11,,Added replacing K effective 2025-12-11
SCL,Y,2024-12-31,,
SCVL,Y,2024-12-31,,
SGA,Y,2024-12-31,,
SJM,Y,2024-12-31,,
SKY,Y,2024-12-31,,
SNA,Y,2024-12-31,,
SPB,Y,2024-12-31,,
SRCE,Y,2024-12-31,,
SSP,Y,2024-12-31,,
SUI,Y,2024-12-31,,
SYK,Y,2024-12-31,,
TDC,Y,2024-12-31,,
TDS,Y,2024-12-31,,
THO,Y,2024-12-31,,
TR,Y,2024-12-31,,
UAL,Y,2024-12-31,,
UFPI,Y,2024-12-31,,
ULTA,Y,2024-12-31,,
WEC,Y,2024-12-31,,
WHR,Y,2024-12-31,,
WNC,Y,2024-12-31,,
WWW,Y,2024-12-31,,
ZBH,Y,2024-12-31,,
ZEUS,N,2024-12-31,2026-02-12,Removed; replaced by GNRC effective 2026-02-13
