Date,Type,Ticker,DeltaSum,ResetRequired,ExactNewDivisor,ControlID,ReferenceDate,Note
2026-02-13,replace,GNRC,167.87,Y,32.9068578318134030358024603690561150385677752624711747673054939939356127828093813243545460626641244423272250001021677351666808210939216673419100257241773464727390607966931718810345,2026-MEM-2026-02-13-ZEUS-GNRC,2026-02-12,Replace ZEUS with GNRC; exact accepted reference delta; rebased for BIG removal effective 2024-09-09
2026-03-05,stock_dividend,TR,-1.25825242718446601941747572815533980582524271844660194174757281553398058252427184466019417475728155339805825242718446601941747572815533980582524271844660194174757281553398058252427184466019417475728155339805825242718447,Y,32.9037488831506563597307607570186595767186610184189180251143864718741677722791784853068631300081102502383837422472350810353213897867466634441138918042149001612981150721618272677504,2026-CA-2026-03-05-TR-STOCK-DIVIDEND,2026-03-04,Documented 3% TR stock dividend; ordinary cash dividend retained; rebased for BIG removal effective 2024-09-09
2026-03-10,variable_dividend,CME,-6.15,Y,32.8881030248174421057025209191804882363470861137892677449649736242401258636300719339710347127979994247530052095039784987288288508246448211969383999334285466078934703347757223988466,2026-CA-2026-03-10-CME-ANNUAL-VARIABLE,2026-03-09,Neutralize CME annual variable component only; regular 1.30 retained; rebased for BIG removal effective 2024-09-09
2026-04-01,replace,BBWI,1.67,Y,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,2026-MEM-2026-04-01-GLDD-BBWI,2026-03-31,Replace GLDD with BBWI; exact accepted reference delta; rebased for BIG removal effective 2024-09-09
2026-06-12,identity,SHOE,0,N,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,2026-ID-2026-06-12-SCVL-SHOE,2026-06-11,SCVL to SHOE same-security identity transfer; no reset; rebased for BIG removal effective 2024-09-09
2026-07-10,replace,SEAT,0.81,Y,32.5393871397159099585856112214961194161059425719155524899164484578544489382698637052214071834079654473705043255252461958810475329364976884853717060805169482586796158003772686880020,2026-MEM-2026-07-10-ANGI-SEAT,2026-07-09,ANGI to SEAT; exact accepted reference delta; rebased for BIG removal effective 2024-09-09
2026-07-10,replace,GE,135.93,Y,32.5393871397159099585856112214961194161059425719155524899164484578544489382698637052214071834079654473705043255252461958810475329364976884853717060805169482586796158003772686880020,2026-MEM-2026-07-10-BA-GE,2026-07-09,BA to GE; exact accepted reference delta; rebased for BIG removal effective 2024-09-09
2026-07-10,replace,ROK,-470.91,Y,32.5393871397159099585856112214961194161059425719155524899164484578544489382698637052214071834079654473705043255252461958810475329364976884853717060805169482586796158003772686880020,2026-MEM-2026-07-10-CAT-ROK,2026-07-09,CAT to ROK; exact accepted reference delta; rebased for BIG removal effective 2024-09-09
2026-07-10,replace,MCS,3.34,Y,32.5393871397159099585856112214961194161059425719155524899164484578544489382698637052214071834079654473705043255252461958810475329364976884853717060805169482586796158003772686880020,2026-MEM-2026-07-10-FUN-MCS,2026-07-09,FUN to MCS; exact accepted reference delta; rebased for BIG removal effective 2024-09-09
2026-07-10,replace,LE,-11.97,Y,32.5393871397159099585856112214961194161059425719155524899164484578544489382698637052214071834079654473705043255252461958810475329364976884853717060805169482586796158003772686880020,2026-MEM-2026-07-10-M-LE,2026-07-09,M to LE; exact accepted reference delta; rebased for BIG removal effective 2024-09-09
