Great Lakes 100,,,,
Component History,,,,
New components are in bold,,,,
,,,,
"August 1, 2005",,,,
"""The Original 25"": The Great Lakes 25",,,,
1st Source Corp.,American Electric Power,Aquila,Bob Evans Farms,CF Industries
Chemical Financial Corp.,Coachmen Industries,Dean Foods,Delphi Corp.,Dow Chemical
Drew Industries,DSW,Fifth Third Bancorp,Ford Motor Company,General Motors Corp.
German American Bancorp,Lakeland Financial,McDonald's Corp.,MFB Corp.,Shoe Carnival
Skyline Corp.,St. Joseph Capital Corp.,Wendy's International,Whirlpool Corp. ,Wm. Wrigley Jr. Company
,,,,
"August 31, 2005",,,,
The Great Lakes 35,,,,
1st Source Corp.,American Electric Power,Aquila,Biomet,Bob Evans Farms
CF Industries,Chemical Financial Corp.,Coachmen Industries,CTS Corp.,Dean Foods
Delphi Corp.,Dow Chemical,Drew Industries,DSW,Fifth Third Bancorp
Ford Motor Company,General Motors Corp.,German American Bancorp,Honeywell International,Horizon Bancorp IN
Kellogg,La-Z-Boy,Lakeland Financial,McDonald's Corp.,MFB Corp.
NiSource,Patrick Industries,Sears Holdings Corp.,Shoe Carnival,Skyline Corp.
St. Joseph Capital Corp.,Wendy's International,Whirlpool Corp. ,Wm. Wrigley Jr. Company,Zimmer Holdings
,,,,
"September 22, 2005",,,,
The Great Lakes 50,,,,
"STOCK DELETED: HORIZON 
BANCORP IN",,,,
1st Source Corp.,American Electric Power,Aquila,Biomet,Bob Evans Farms
Bowater,Brunswick Corp.,CF Industries,Chemical Financial Corp.,Coachmen Industries
Cooper Tire & Rubber,CTS Corp.,Dean Foods,Deere & Co.,Delphi Corp.
DeVry,Domino's Pizza,Dow Chemical,Drew Industries,DSW
Fifth Third Bancorp,Ford Motor Company,General Motors Corp.,German American Bancorp,Goodyear Tire & Rubber
Harley-Davidson,Honeywell International,ITT Educational Services,Johnson Controls,Kellogg
Kohl's,Kroger,La-Z-Boy,Lakeland Financial,McDonald's Corp.
MFB Corp.,Modine Manufacturing,NiSource,Oshkosh Corp.,Patrick Industries
Papa John's International,Sears Holdings Corp.,Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.
Wendy's International,Whirlpool Corp. ,Wisconsin Energy,Wm. Wrigley Jr. Company,Zimmer Holdings
,,,,
"October 10, 2005",,,,
The Great Lakes 64 (63 components),,,,
"STOCKS DELETED: BOWATER, 
DEAN FOODS & MFB CORP.",,,,
1st Source Corp.,Aastrom Biosciences,Alberto-Culver,American Electric Power,Aquila
Archer-Daniels-Midland (ADM),Biomet,Bob Evans Farms,Brunswick Corp.,CF Industries
Chemical Financial Corp.,Coachmen Industries,Cooper Tire & Rubber,Compuware,CTS Corp.
Deere & Co.,Delphi Corp.,DeVry,Domino's Pizza,Dow Chemical
Drew Industries,DSW,Fifth Third Bancorp,Ford Motor Company,General Motors Corp.
German American Bancorp,Goodyear Tire & Rubber,Harley-Davidson,Honeywell International,ITT Educational Services
Johnson Controls,Kaydon Corp.,Kellogg,Kohl's,Kraft Foods
Kroger,La-Z-Boy,Lakeland Financial,Lear Corp.,McDonald's Corp.
Modine Manufacturing,Neogen,NiSource,Oshkosh Corp.,Packaging Corp. of America
Patrick Industries,Papa John's International,Perrigo Co.,Pulte Homes,Sears Holdings Corp.
Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.,Stericycle,Stryker Corp.
Sun Communities,"Syntel, Inc.",Wendy's International,Whirlpool Corp. ,Wisconsin Energy
Wm. Wrigley Jr. Company,Wolverine Worldwide,Zimmer Holdings,,
,,,,
"October 11, 2005",,,,
The Great Lakes 64 ,,,,
STOCKS DELETED: DELPHI CORP.,,,,
1st Source Corp.,Aastrom Biosciences,Alberto-Culver,American Electric Power,Aquila
Archer-Daniels-Midland (ADM),Biomet,Bob Evans Farms,Brunswick Corp.,CF Industries
Chemical Financial Corp.,Coachmen Industries,Cooper Tire & Rubber,Compuware,CTS Corp.
Deere & Co.,DeVry,Domino's Pizza,Dow Chemical,Drew Industries
DSW,Fifth Third Bancorp,Ford Motor Company,General Motors Corp.,German American Bancorp
Goodyear Tire & Rubber,Harley-Davidson,Honeywell International,ITT Educational Services,Johnson Controls
Kaydon Corp.,Kellogg,Kohl's,Kraft Foods,Kroger
La-Z-Boy,Lakeland Financial,Lear Corp.,McDonald's Corp.,Modine Manufacturing
Neogen,NiSource,Oshkosh Corp.,Packaging Corp. of America,Patrick Industries
Papa John's International,Perrigo Co.,Procter & Gamble,Pulte Homes,REX Stores Corp.
Sears Holdings Corp.,Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.,Stericycle
Stryker Corp.,Sun Communities,"Syntel, Inc.",Wendy's International,Whirlpool Corp. 
Wisconsin Energy,Wm. Wrigley Jr. Company,Wolverine Worldwide,Zimmer Holdings,
,,,,
"October 21, 2005",,,,
The Great Lakes 64,,,,
"STOCKS DELETED: PAPA 
JOHN'S 
INTERNATIONAL",,,,
1st Source Corp.,Aastrom Biosciences,Alberto-Culver,American Electric Power,Aquila
Archer-Daniels-Midland (ADM),Biomet,Bob Evans Farms,Brunswick Corp.,CBOT Holdings
CF Industries,Chemical Financial Corp.,Coachmen Industries,Cooper Tire & Rubber,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
Drew Industries,DSW,Fifth Third Bancorp,Ford Motor Company,General Motors Corp.
German American Bancorp,Goodyear Tire & Rubber,Harley-Davidson,Honeywell International,ITT Educational Services
Johnson Controls,Kaydon Corp.,Kellogg,Kohl's,Kraft Foods
Kroger,La-Z-Boy,Lakeland Financial,Lear Corp.,McDonald's Corp.
Modine Manufacturing,Neogen,NiSource,Oshkosh Corp.,Packaging Corp. of America
Patrick Industries,Perrigo Co.,Procter & Gamble,Pulte Homes,REX Stores Corp.
Sears Holdings Corp.,Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.,Stericycle
Stryker Corp.,Sun Communities,"Syntel, Inc.",Wendy's International,Whirlpool Corp. 
Wisconsin Energy,Wm. Wrigley Jr. Company,Wolverine Worldwide,Zimmer Holdings,
,,,,
"February 6, 2006",,,,
The Great Lakes 64,,,,
STOCKS DELETED: KAYDON CORP.,,,,
1st Source Corp.,Aastrom Biosciences,Alberto-Culver,American Electric Power,Aquila
Archer-Daniels-Midland (ADM),Biomet,Bob Evans Farms,Brunswick Corp.,"Caterpillar, Inc."
CBOT Holdings,CF Industries,Chemical Financial Corp.,Coachmen Industries,Cooper Tire & Rubber
Compuware,CTS Corp.,Deere & Co.,DeVry,Domino's Pizza
Dow Chemical,Drew Industries,DSW,Fifth Third Bancorp,Ford Motor Company
General Motors Corp.,German American Bancorp,Goodyear Tire & Rubber,Harley-Davidson,Honeywell International
ITT Educational Services,Johnson Controls,Kellogg,Kohl's,Kraft Foods
Kroger,La-Z-Boy,Lakeland Financial,Lear Corp.,McDonald's Corp.
Modine Manufacturing,Neogen,NiSource,Oshkosh Corp.,Packaging Corp. of America
Patrick Industries,Perrigo Co.,Procter & Gamble,Pulte Homes,REX Stores Corp.
Sears Holdings Corp.,Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.,Stericycle
Stryker Corp.,Sun Communities,"Syntel, Inc.",Wendy's International,Whirlpool Corp. 
Wisconsin Energy,Wm. Wrigley Jr. Company,Wolverine Worldwide,Zimmer Holdings,
,,,,
"March 7, 2006",,,,
The Great Lakes 64,,,,
"STOCKS DELETED: NEOGEN, 
REX STORES & 
WISCONSIN ENERGY",,,,
1st Source Corp.,Aastrom Biosciences,Alberto-Culver,American Electric Power,Aquila
Archer-Daniels-Midland (ADM),Biomet,Bob Evans Farms,Brunswick Corp.,"Caterpillar, Inc."
CBOT Holdings,CF Industries,Chemical Financial Corp.,Coachmen Industries,Cooper Tire & Rubber
Compuware,CTS Corp.,Deere & Co.,DeVry,Domino's Pizza
Dow Chemical,Drew Industries,DSW,Eli Lilly & Co.,Exelon Corp.
Fifth Third Bancorp,Ford Motor Company,General Motors Corp.,German American Bancorp,Goodyear Tire & Rubber
Harley-Davidson,Honeywell International,ITT Educational Services,Johnson Controls,Kellogg
Kohl's,Kraft Foods,Kroger,La-Z-Boy,Lakeland Financial
Lear Corp.,McDonald's Corp.,Midway Games,Modine Manufacturing,NiSource
Oshkosh Corp.,Packaging Corp. of America,Patrick Industries,Perrigo Co.,Procter & Gamble
Pulte Homes,Sears Holdings Corp.,Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.
Stericycle,Stryker Corp.,Sun Communities,"Syntel, Inc.",Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,Zimmer Holdings,
,,,,
"July 7, 2006",,,,
The Great Lakes 64,,,,
"STOCKS DELETED: BRUNSWICK 
CORP., 
GERMAN AMERICAN 
BANCORP & COOPER TIRE",,,,
1st Source Corp.,Aastrom Biosciences,Alberto-Culver,American Electric Power,Aquila
Archer-Daniels-Midland (ADM),Biomet,Bob Evans Farms,"Caterpillar, Inc.",CBOT Holdings
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
Drew Industries,DSW,Eli Lilly & Co.,Exelon Corp.,Fifth Third Bancorp
Ford Motor Company,General Motors Corp.,Goodyear Tire & Rubber,Harley-Davidson,Honeywell International
ITT Educational Services,Johnson Controls,Kellogg,Kohl's,Kraft Foods
Kroger,La-Z-Boy,Lakeland Financial,Lear Corp.,McDonald's Corp.
Midway Games,Modine Manufacturing,NiSource,Olympic Steel,Oshkosh Corp.
Packaging Corp. of America,Patrick Industries,Perrigo Co.,Procter & Gamble,Pulte Homes
Sears Holdings Corp.,Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.,Stericycle
Stryker Corp.,Sun Communities,"Syntel, Inc.",Tribune Company,Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,Zimmer Holdings,
,,,,
"July 17, 2006",,,,
The Great Lakes 64,,,,
"STOCKS DELETED: AQUILA, 
HONEYWELL INTERNATIONAL & 
STRYKER",,,,
1st Source Corp.,Aastrom Biosciences,Alberto-Culver,American Electric Power,Archer-Daniels-Midland (ADM)
Biomet,Bob Evans Farms,Boeing,"Caterpillar, Inc.",CBOT Holdings
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
Drew Industries,DSW,Eli Lilly & Co.,Exelon Corp.,Fifth Third Bancorp
Ford Motor Company,Fortune Brands,General Motors Corp.,Goodyear Tire & Rubber,Harley-Davidson
ITT Educational Services,Johnson Controls,Kellogg,Kohl's,Kraft Foods
Kroger,La-Z-Boy,Lakeland Financial,Lear Corp.,McDonald's Corp.
Midway Games,Modine Manufacturing,NiSource,Olympic Steel,Oshkosh Corp.
Packaging Corp. of America,Patrick Industries,Perrigo Co.,Procter & Gamble,Pulte Homes
Sears Holdings Corp.,Shoe Carnival,Skyline Corp.,St. Joseph Capital Corp.,Stericycle
Sun Communities,"Syntel, Inc.",Tribune Company,UAL Corp.,Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,Zimmer Holdings,
,,,,
"November 20, 2006",,,,
The Great Lakes 86,,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allstate,American Electric Power,American Greetings,Archer-Daniels-Midland (ADM),Big Lots
Biomet,Bob Evans Farms,Boeing,Borders Group,Briggs & Stratton
"Caterpillar, Inc.",CBOT Holdings,CF Industries,Chemical Financial Corp.,Coachmen Industries
Comerica,Compuware,CTS Corp.,Deere & Co.,DeVry
Domino's Pizza,Dow Chemical,Drew Industries,DSW,Eaton Corp.
Eli Lilly & Co.,Emmis Communications,Exelon Corp.,Fifth Third Bancorp,Ford Motor Company
Fortune Brands,General Motors Corp.,Goodyear Tire & Rubber,Harley-Davidson,ITT Educational Services
Illinois Tool Works,Johnson Controls,Kellogg,Kelly Services,Kohl's
Kraft Foods,Kroger,La-Z-Boy,Lakeland Financial,Lear Corp.
Masco,McDonald's Corp.,Midway Games,Modine Manufacturing,National City
Navistar International,NCR Corp.,NiSource,Olympic Steel,Oshkosh Corp.
Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.,Patrick Industries,Perrigo Co.
Playboy Enterprises,Procter & Gamble,Pulte Homes,Sears Holdings Corp.,Shoe Carnival
Skyline Corp.,Snap-on,Spartan Stores,St. Joseph Capital Corp.,Stericycle
Sun Communities,"Syntel, Inc.",Tribune Company,UAL Corp.,United Auto Group
Walgreen,Wendy's International,Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide
Zimmer Holdings,,,,
,,,,
"December 21, 2006",,,,
The Great Lakes 86,,,,
"STOCKS DELETED: NAVISTAR 
INTERNATIONAL",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allstate,American Electric Power,American Greetings,Andrew Corp.,Archer-Daniels-Midland (ADM)
Big Lots,Biomet,Bob Evans Farms,Boeing,Borders Group
Briggs & Stratton,"Caterpillar, Inc.",CBOT Holdings,CF Industries,Chemical Financial Corp.
Coachmen Industries,Comerica,Compuware,CTS Corp.,Deere & Co.
DeVry,Domino's Pizza,Dow Chemical,Drew Industries,DSW
Eaton Corp.,Eli Lilly & Co.,Emmis Communications,Exelon Corp.,Fifth Third Bancorp
Ford Motor Company,Fortune Brands,General Motors Corp.,Goodyear Tire & Rubber,Harley-Davidson
ITT Educational Services,Illinois Tool Works,Johnson Controls,Kellogg,Kelly Services
Kohl's,Kraft Foods,Kroger,La-Z-Boy,Lakeland Financial
Lear Corp.,Masco,McDonald's Corp.,Midway Games,Modine Manufacturing
National City,NCR Corp.,NiSource,Olympic Steel,Oshkosh Corp.
Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.,Patrick Industries,Perrigo Co.
Playboy Enterprises,Procter & Gamble,Pulte Homes,Sears Holdings Corp.,Shoe Carnival
Skyline Corp.,Snap-on,Spartan Stores,St. Joseph Capital Corp.,Stericycle
Sun Communities,"Syntel, Inc.",Tribune Company,UAL Corp.,United Auto Group
Walgreen,Wendy's International,Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide
Zimmer Holdings,,,,
,,,,
"January 19, 2007",,,,
The Great Lakes 100,,,,
"STOCKS DELETED: EMMIS 
COMMUNICATIONS",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allscripts Healthcare Solutions,Allstate,American Axle & Manufacturing,American Electric Power,American Greetings
Andrew Corp.,Archer-Daniels-Midland (ADM),Big Lots,Biomet,Bob Evans Farms
Boeing,Borders Group,Briggs & Stratton,"Caterpillar, Inc.",CBOT Holdings
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
Drew Industries,DSW,Eaton Corp.,Eli Lilly & Co.,Exelon Corp.
Federated Department Stores,Fifth Third Bancorp,Ford Motor Company,Fortune Brands,FreightCar America
General Motors Corp.,Goodyear Tire & Rubber,Harley-Davidson,ITT Educational Services,Illinois Tool Works
Johnson Controls,Kellogg,Kelly Services,Kohl's,Koss Corp.
Kraft Foods,Kroger,La-Z-Boy,Laidlaw International,Lakeland Financial
Lear Corp.,Masco,McDonald's Corp.,Midway Games,Modine Manufacturing
Motorola Corp.,National City,NCR Corp.,NICOR,NiSource
Olympic Steel,Oshkosh Corp.,Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.
Patrick Industries,Perrigo Co.,Playboy Enterprises,Procter & Gamble,Pulte Homes
Quixote Corp.,Republic Airways Holdings,Saga Communications,Sears Holdings Corp.,Shoe Carnival
Skyline Corp.,Snap-on,Spartan Stores,St. Joseph Capital Corp.,Steak 'n Shake
Stericycle,Sun Communities,"Syntel, Inc.",Third Wave Technologies,Tribune Company
UAL Corp.,United Auto Group,Walgreen,"WellPoint, Inc.",Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,X-Rite,Zimmer Holdings
,,,,
"January 23, 2007",,,,
The Great Lakes 100,,,,
"STOCKS DELETED: AMERICAN 
AXLE & MANUFACTURING",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allscripts Healthcare Solutions,Allstate,American Electric Power,American Greetings,Andrew Corp.
Archer-Daniels-Midland (ADM),Big Lots,Biomet,Bob Evans Farms,Boeing
Borders Group,Briggs & Stratton,"Caterpillar, Inc.",CBOT Holdings,"Cedar Fair, LP"
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
Drew Industries,DSW,Eaton Corp.,Eli Lilly & Co.,Exelon Corp.
Federated Department Stores,Fifth Third Bancorp,Ford Motor Company,Fortune Brands,FreightCar America
General Motors Corp.,Goodyear Tire & Rubber,Harley-Davidson,ITT Educational Services,Illinois Tool Works
Johnson Controls,Kellogg,Kelly Services,Kohl's,Koss Corp.
Kraft Foods,Kroger,La-Z-Boy,Laidlaw International,Lakeland Financial
Lear Corp.,Masco,McDonald's Corp.,Midway Games,Modine Manufacturing
Motorola Corp.,National City,NCR Corp.,NICOR,NiSource
Olympic Steel,Oshkosh Corp.,Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.
Patrick Industries,Perrigo Co.,Playboy Enterprises,Procter & Gamble,Pulte Homes
Quixote Corp.,Republic Airways Holdings,Saga Communications,Sears Holdings Corp.,Shoe Carnival
Skyline Corp.,Snap-on,Spartan Stores,St. Joseph Capital Corp.,Steak 'n Shake
Stericycle,Sun Communities,"Syntel, Inc.",Third Wave Technologies,Tribune Company
UAL Corp.,United Auto Group,Walgreen,"WellPoint, Inc.",Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,X-Rite,Zimmer Holdings
,,,,
"February 1, 2007",,,,
The Great Lakes 100,,,,
"STOCKS DELETED: ST. JOSEPH 
CAPITAL CORP.",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allscripts Healthcare Solutions,Allstate,American Electric Power,American Greetings,Andrew Corp.
Archer-Daniels-Midland (ADM),Big Lots,Biomet,Bob Evans Farms,Boeing
Borders Group,Briggs & Stratton,"Caterpillar, Inc.",CBOT Holdings,"Cedar Fair, LP"
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
Drew Industries,DSW,Eaton Corp.,Eli Lilly & Co.,Exelon Corp.
Federated Department Stores,Fifth Third Bancorp,Ford Motor Company,Fortune Brands,FreightCar America
General Motors Corp.,Goodyear Tire & Rubber,Harley-Davidson,ITT Educational Services,Illinois Tool Works
Johnson Controls,Kellogg,Kelly Services,Kohl's,Koss Corp.
Kraft Foods,Kroger,La-Z-Boy,Laidlaw International,Lakeland Financial
Lear Corp.,Masco,McDonald's Corp.,Midway Games,Modine Manufacturing
Motorola Corp.,National City,NCR Corp.,NICOR,NiSource
Old National Bancorp,Olympic Steel,Oshkosh Corp.,Owens-Illinois,Packaging Corp. of America
Parker Hannifin Corp.,Patrick Industries,Perrigo Co.,Playboy Enterprises,Procter & Gamble
Pulte Homes,Quixote Corp.,Republic Airways Holdings,Saga Communications,Sears Holdings Corp.
Shoe Carnival,Skyline Corp.,Snap-on,Spartan Stores,Steak 'n Shake
Stericycle,Sun Communities,"Syntel, Inc.",Third Wave Technologies,Tribune Company
UAL Corp.,United Auto Group,Walgreen,"WellPoint, Inc.",Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,X-Rite,Zimmer Holdings
,,,,
"May 29, 2007",,,,
The Great Lakes 100,,,,
"STOCKS DELETED: DREW 
INDUSTRIES",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allscripts Healthcare Solutions,Allstate,American Electric Power,American Greetings,Andrew Corp.
Archer-Daniels-Midland (ADM),Big Lots,Biomet,Bob Evans Farms,Boeing
Borders Group,Briggs & Stratton,"Caterpillar, Inc.",CBOT Holdings,"Cedar Fair, LP"
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
DSW,Eaton Corp.,Eli Lilly & Co.,Exelon Corp.,Federated Department Stores
Fifth Third Bancorp,Ford Motor Company,Fortune Brands,FreightCar America,General Motors Corp.
Goodyear Tire & Rubber,Harley-Davidson,ITT Educational Services,Illinois Tool Works,Johnson Controls
Kellogg,Kelly Services,Kohl's,Koss Corp.,Kraft Foods
Kroger,La-Z-Boy,Laidlaw International,Lakeland Financial,Lear Corp.
Masco,McDonald's Corp.,Midway Games,Modine Manufacturing,Motorola Corp.
National City,NCR Corp.,NICOR,NiSource,Old National Bancorp
Olympic Steel,Oshkosh Corp.,Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.
Patrick Industries,Perrigo Co.,Playboy Enterprises,Procter & Gamble,Pulte Homes
Quixote Corp.,Republic Airways Holdings,Saga Communications,Sears Holdings Corp.,Shoe Carnival
Skyline Corp.,Snap-on,Spartan Stores,Steak 'n Shake,Stericycle
Sun Communities,"Syntel, Inc.",Third Wave Technologies,Tribune Company,UAL Corp.
United Auto Group,USG Corp.,Walgreen,"WellPoint, Inc.",Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,X-Rite,Zimmer Holdings
,,,,
"June 1, 2007",,,,
The Great Lakes 100,,,,
"NAME CHANGE: FEDERATED DEPT. 
STORES",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allscripts Healthcare Solutions,Allstate,American Electric Power,American Greetings,Andrew Corp.
Archer-Daniels-Midland (ADM),Big Lots,Biomet,Bob Evans Farms,Boeing
Borders Group,Briggs & Stratton,"Caterpillar, Inc.",CBOT Holdings,"Cedar Fair, LP"
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
DSW,Eaton Corp.,Eli Lilly & Co.,Exelon Corp.,Fifth Third Bancorp
Ford Motor Company,Fortune Brands,FreightCar America,General Motors Corp.,Goodyear Tire & Rubber
Harley-Davidson,ITT Educational Services,Illinois Tool Works,Johnson Controls,Kellogg
Kelly Services,Kohl's,Koss Corp.,Kraft Foods,Kroger
La-Z-Boy,Laidlaw International,Lakeland Financial,Lear Corp.,Macy's
Masco,McDonald's Corp.,Midway Games,Modine Manufacturing,Motorola Corp.
National City,NCR Corp.,NICOR,NiSource,Old National Bancorp
Olympic Steel,Oshkosh Corp.,Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.
Patrick Industries,Perrigo Co.,Playboy Enterprises,Procter & Gamble,Pulte Homes
Quixote Corp.,Republic Airways Holdings,Saga Communications,Sears Holdings Corp.,Shoe Carnival
Skyline Corp.,Snap-on,Spartan Stores,Steak 'n Shake,Stericycle
Sun Communities,"Syntel, Inc.",Third Wave Technologies,Tribune Company,UAL Corp.
United Auto Group,USG Corp.,Walgreen,"WellPoint, Inc.",Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,X-Rite,Zimmer Holdings
,,,,
"July 2, 2007",,,,
The Great Lakes 100,,,,
"NAME CHANGE: UNITED AUTO 
GROUP",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allscripts Healthcare Solutions,Allstate,American Electric Power,American Greetings,Andrew Corp.
Archer-Daniels-Midland (ADM),Big Lots,Biomet,Bob Evans Farms,Boeing
Borders Group,Briggs & Stratton,"Caterpillar, Inc.",CBOT Holdings,"Cedar Fair, LP"
CF Industries,Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
DSW,Eaton Corp.,Eli Lilly & Co.,Exelon Corp.,Fifth Third Bancorp
Ford Motor Company,Fortune Brands,FreightCar America,General Motors Corp.,Goodyear Tire & Rubber
Harley-Davidson,ITT Educational Services,Illinois Tool Works,Johnson Controls,Kellogg
Kelly Services,Kohl's,Koss Corp.,Kraft Foods,Kroger
La-Z-Boy,Laidlaw International,Lakeland Financial,Lear Corp.,Macy's
Masco,McDonald's Corp.,Midway Games,Modine Manufacturing,Motorola Corp.
National City,NCR Corp.,NICOR,NiSource,Old National Bancorp
Olympic Steel,Oshkosh Corp.,Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.
Patrick Industries,Perrigo Co.,Playboy Enterprises,Penske Automotive Group,Procter & Gamble
Pulte Homes,Quixote Corp.,Republic Airways Holdings,Saga Communications,Sears Holdings Corp.
Shoe Carnival,Skyline Corp.,Snap-on,Spartan Stores,Steak 'n Shake
Stericycle,Sun Communities,"Syntel, Inc.",Third Wave Technologies,Tribune Company
UAL Corp.,USG Corp.,Walgreen,"WellPoint, Inc.",Wendy's International
Whirlpool Corp. ,Wm. Wrigley Jr. Company,Wolverine Worldwide,X-Rite,Zimmer Holdings
,,,,
"July 13, 2007",,,,
The Great Lakes 100 Index,,,,
"STOCKS DELETED: CBOT 
HOLDINGS",,,,
1st Source Corp.,Aastrom Biosciences,Abercrombie & Fitch,AK Steel Holdings,Alberto-Culver
Allscripts Healthcare Solutions,Allstate,American Electric Power,American Greetings,Andrew Corp.
Archer-Daniels-Midland (ADM),Big Lots,Biomet,Bob Evans Farms,Boeing
Borders Group,Briggs & Stratton,"Caterpillar, Inc.","Cedar Fair, LP",CF Industries
Chemical Financial Corp.,Coachmen Industries,Comerica,Compuware,CME Group
CTS Corp.,Deere & Co.,DeVry,Domino's Pizza,Dow Chemical
DSW,Eaton Corp.,Eli Lilly & Co.,Exelon Corp.,Fifth Third Bancorp
Ford Motor Company,Fortune Brands,FreightCar America,General Motors Corp.,Goodyear Tire & Rubber
Harley-Davidson,ITT Educational Services,Illinois Tool Works,Johnson Controls,Kellogg
Kelly Services,Kohl's,Koss Corp.,Kraft Foods,Kroger
La-Z-Boy,Laidlaw International,Lakeland Financial,Lear Corp.,Macy's
Masco,McDonald's Corp.,Midway Games,Modine Manufacturing,Motorola Corp.
National City,NCR Corp.,NICOR,NiSource,Old National Bancorp
Olympic Steel,Oshkosh Corp.,Owens-Illinois,Packaging Corp. of America,Parker Hannifin Corp.
Patrick Industries,Perrigo Co.,Playboy Enterprises,Penske Automotive Group,Procter & Gamble
Pulte Homes,Quixote Corp.,Republic Airways Holdings,Saga Communications,Sears Holdings Corp.
Shoe Carnival,Skyline Corp.,Snap-on,Spartan Stores,Steak 'n Shake
