Date,Ticker,Open,High,Low,Close,Volume,CoverageClass,OHLVSource,OHLVSourcePath,CloseSource,CloseSourcePath,RawCandidateOpen,RawCandidateHigh,RawCandidateLow,RawCandidateClose,RawCandidateVolume,PriceScaleFactor,VolumeScaleFactor,ScaleControlID,ScaleNote,CloseResidual,ControlID,RosterCount,CandidateCount,ExactCandidateCount,Complete
2026-01-02,ADM,57.44,59.35,57.21,59.05,2972292,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ADM_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ADM_2026.json,57.44,59.35,57.21,59.05,2972292,1,1,,,0,,86,1,1,true
2026-01-02,AEP,115.44,116.2,114.42,115.81,3906753,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_AEP_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_AEP_2026.json,115.44,116.2,114.42,115.81,3906753,1,1,,,0,,86,1,1,true
2026-01-02,ALL,207.04,208.35,203.13,203.82,1482880,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ALL_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ALL_2026.json,207.04,208.35,203.13,203.82,1482880,1,1,,,0,,86,1,1,true
2026-01-02,ALLY,45.46,45.83,44.96,45.76,2145898,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ALLY_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ALLY_2026.json,45.46,45.83,44.96,45.76,2145898,1,1,,,0,,86,1,1,true
2026-01-02,ANF,125.89,126.6,121.53,123.74,1634629,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ANF_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ANF_2026.json,125.89,126.6,121.53,123.74,1634629,1,1,,,0,,86,1,1,true
2026-01-02,ANGI,13.07,13.295,12.35,12.65,791666,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ANGI_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_ANGI_2026.json,13.07,13.295,12.35,12.65,791666,1,1,,,0,,86,1,1,true
2026-01-02,AOS,67.06,68.53,66.65,68.32,1318826,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_AOS_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_AOS_2026.json,67.06,68.53,66.65,68.32,1318826,1,1,,,0,,86,1,1,true
2026-01-02,BA,218.15,227.77,215.24,227.77,11261006,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_BA_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_BA_2026.json,218.15,227.77,215.24,227.77,11261006,1,1,,,0,,86,1,1,true
2026-01-02,BAX,19.3,19.635,19.165,19.5,6113167,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_BAX_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_BAX_2026.json,19.3,19.635,19.165,19.5,6113167,1,1,,,0,,86,1,1,true
2026-01-02,BMI,175.1,178,174.93,176.39,129195,EXACT_RAW_OHLCV,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_BMI_2026.json,TIINGO_RAW,/home/torrey/GLI/GLI_2026_source_cache/tiingo_BMI_2026.json,175.1,178,174.93,176.39,129195,1,1,,,0,,86,1,1,true
