Date,Ticker,Open,High,Low,Close,Volume
2026-08-05,ADM,81.85,82.94,77.53,77.58,5537899
2026-08-05,AEP,128.46,128.86,124.5,126.47,7185159
2026-08-05,ALL,264.65,266.92,263.12,264.59,1042233
2026-08-05,ALLY,45.04,45.28,44.65,44.74,1854485
2026-08-05,ANF,110.09,113.35,107.85,109.45,725994
2026-08-05,AOS,63.07,63.6,62.69,63.18,1203063
2026-08-05,BAX,28.2,28.2,27.09,27.33,7630105
2026-08-05,BBWI,21.52,21.56,20.58,20.79,3718146
2026-08-05,BMI,140.47,140.96,138.83,139.44,192140
2026-08-05,CARS,12.09,12.09,11.83,11.84,694609
2026-08-05,CCC,6.39,6.52,6.27,6.46,7112223
2026-08-05,CF,118.47,118.64,115.76,116.71,1837000
2026-08-05,CME,264.48,265.95,259.24,264.78,1728004
2026-08-05,CMI,644.88,661.01,640.99,650.25,1463536
2026-08-05,CTS,66.77,67.67,66.55,66.78,262697
2026-08-05,DE,619.0,624.72,611.63,612.0,797250
2026-08-05,DOW,30.61,30.66,29.17,29.67,9728897
2026-08-05,DPZ,369.0,369.51,362.21,366.61,666686
2026-08-05,ELV,375.2,392.36,370.47,391.24,887332
2026-08-05,EXC,45.83,45.89,45.21,45.76,6680917
2026-08-05,F,14.33,14.48,14.13,14.13,36430932
2026-08-05,FISV,56.39,56.63,53.64,54.11,11642461
2026-08-05,FITB,58.16,58.49,57.54,57.6,3550415
2026-08-05,FSS,132.89,133.78,129.94,130.18,360215
2026-08-05,GE,379.34,384.5,378.74,381.22,3139975
2026-08-05,GM,88.46,89.98,88.25,89.16,6858433
2026-08-05,GNRC,218.39,226.0,217.38,217.41,1369591
2026-08-05,GT,7.11,7.14,6.89,6.94,7911111
2026-08-05,H,174.17,181.35,174.48,178.91,754213
2026-08-05,HOG,26.55,26.74,26.12,26.19,1264810
2026-08-05,HURC,21.65,21.93,21.38,21.89,13965
2026-08-05,INGR,105.57,106.46,101.8,103.29,603801
2026-08-05,ITW,296.17,297.47,293.58,297.32,641244
2026-08-05,JLL,368.93,373.27,363.91,373.24,226496
2026-08-05,KELYA,15.41,15.41,14.83,15.22,305733
2026-08-05,KR,58.12,58.28,56.4,56.68,4907896
2026-08-05,KSS,19.95,20.38,19.55,19.66,2285285
2026-08-05,LE,12.87,13.04,12.79,12.79,128850
2026-08-05,LKFN,63.93,63.93,62.76,62.96,136642
