Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
ACLI,2009-01-02,2010-12-21,American Commercial Lines Inc.,ACLI,American Commerical Lines,GLI historical roster and company-name audit,American Commerical Lines,,,,,
ACV,2005-10-10,2010-11-17,Alberto-Culver Company,ACV,Alberto-Culver,GLI historical roster and company-name audit,Alberto-Culver,,,,,
ADM,2005-10-10,2025-12-31,Archer-Daniels-Midland Company,ADM,Archer-Daniels-Midland (ADM),GLI historical roster and company-name audit,Archer-Daniels-Midland (ADM),,,,,
AEP,2005-08-01,2025-12-31,"American Electric Power Company, Inc.",AEP,American Electric Power,GLI historical roster and company-name audit,American Electric Power,,,,,
AKS,2006-11-20,2013-05-28,AK Steel Holding Corporation,AKS,AK Steel Holdings,GLI historical roster and company-name audit,AK Steel Holdings,,,,,
ALL,2006-11-20,2025-12-31,The Allstate Corporation,ALL,Allstate,GLI historical roster and company-name audit,Allstate,,,,,
ALLY,2021-01-12,2025-12-31,Ally Financial Inc.,ALLY,,GLI historical roster and company-name audit,,,,,,
AM,2006-11-20,2013-08-08,American Greetings Corporation,AM,American Greetings,GLI historical roster and company-name audit,American Greetings,,,,,
ANDW,2006-12-21,2007-07-30,Andrew Corporation,ANDW,Andrew Corp.,GLI historical roster and company-name audit,Andrew Corp.,,,,,
ANF,2006-11-20,2025-12-31,Abercrombie & Fitch Co.,ANF,Abercrombie & Fitch,GLI historical roster and company-name audit,Abercrombie & Fitch,,,,,
ANGI,2013-08-09,2017-09-29,"Angie's List, Inc.",ANGI,Angie's List,historical corporate-name chronology,Angie's List,,,,,
ANGI,2017-10-02,2021-03-16,ANGI Homeservices Inc.,ANGI,,historical corporate-name chronology,,,,,,
ANGI,2021-03-17,2025-12-31,Angi Inc.,ANGI,,historical corporate-name chronology,,,,,,
ANTM,2014-12-03,2022-06-27,"Anthem, Inc.",ELV,,GLI historical roster and company-name audit,,,,,,
AOS,2019-04-24,2025-12-31,A. O. Smith Corporation,AOS,,GLI historical roster and company-name audit,,,,,,
ASTM,2005-10-10,2007-11-29,"Aastrom Biosciences, Inc.",ASTM,Aastrom Biosciences,GLI historical roster and company-name audit,Aastrom Biosciences,,,,,
